index,MovieID,Title,MPAA Rating,Budget,Gross,Release Date,Genre,Runtime,Rating,Rating Count,release date_DD,release month_MM
0,1,Look Who's Talking,PG-13,7500000,296000000,12-10-1989,Romance,93,5.9,73638,12,10
1,2,Driving Miss Daisy,PG,7500000,145793296,13-12-1989,Comedy,99,7.4,91075,13,12
2,3,Turner & Hooch,PG,13000000,71079915,28-07-1989,Crime,100,7.2,91415,28,7
3,4,Born on the Fourth of July,R,14000000,161001698,20-12-1989,War,145,7.2,91415,20,12
4,5,Field of Dreams,PG,15000000,84431625,21-04-1989,Drama,107,7.5,101702,21,4
5,6,Uncle Buck,PG,15000000,79258538,16-08-1989,Family,100,7,77659,16,8
6,7,When Harry Met Sally...,R,16000000,92800000,21-07-1989,Romance,96,7.6,180871,21,7
7,8,Dead Poets Society,PG,16400000,235860116,02-06-1989,Drama,129,8.1,382002,2,6
8,9,Parenthood,PG-13,20000000,126297830,31-07-1989,Comedy,124,7,41866,31,7
9,10,Lethal Weapon 2,R,25000000,227853986,07-07-1989,Comedy,114,7.2,151737,7,7
10,11,The War of the Roses,R,26000000,160200000,08-12-1989,Comedy,116,6.8,45248,8,12
11,12,National Lampoon's Christmas Vacation,PG-13,27000000,71320000,01-12-1989,Action,97,7.6,135690,1,12
12,13,"Honey, I Shrunk the Kids",PG,32000000,222724172,22-06-1989,Family,93,6.3,132480,22,6
13,14,Batman,PG,35000000,411348924,23-06-1989,Action,126,7.5,319517,23,6
14,15,Ghostbusters II,PG,37000000,215394738,15-06-1989,Comedy,108,6.6,171196,15,6
15,16,The Little Mermaid,PG,40000000,222300000,17-11-1989,Animation,83,7.6,219221,17,11
16,17,Back to the Future Part II,PG,40000000,332000000,20-11-1989,Science Fiction,108,7.8,438940,20,11
17,18,Indiana Jones and the Last Crusade,PG-13,48000000,474171806,24-05-1989,Adventure,127,8.2,647495,24,5
18,19,Tango & Cash,R,55000000,63408614,22-12-1989,Action,104,6.8,79806,22,12
19,20,Steel Magnolias,PG,15000000,95904091,15-11-1989,Drama,119,7.3,43037,15,11
20,21,Three Men and a Little Lady,PG,11000000,71600000,21-11-1990,Family,104,6.1,127793,21,11
21,22,Teenage Mutant Ninja Turtles,PG,13500000,202000000,30-03-1990,Action,93,6.8,79806,30,3
22,23,Pretty Woman,R,14000000,463000000,23-03-1990,Romance,119,7,266405,23,3
23,24,Kindergarten Cop,PG-13,15000000,201957688,21-12-1990,Action,111,6.1,127793,21,12
24,25,Home Alone,PG,18000000,476684675,09-11-1990,Family,103,7.6,414472,9,11
25,26,Bird on a Wire,PG-13,20000000,138700000,18-05-1990,Comedy,110,6,37415,18,5
26,27,Misery,R,20000000,61276872,28-11-1990,Drama,107,7.8,168946,28,11
27,28,Edward Scissorhands,PG-13,20000000,53000000,05-12-1990,Drama,105,7.9,421760,5,12
28,29,Ghost,PG-13,22000000,505000000,12-07-1990,Thriller,127,7,183054,12,7
29,30,Presumed Innocent,R,22000000,221303188,26-07-1990,Crime,127,6.9,35122,26,7
30,31,Dances with Wolves,PG-13,22000000,424208848,09-11-1990,Western,181,8,224754,9,11
31,32,Flatliners,R,26000000,61489265,09-08-1990,Horror,115,6.6,76155,9,8
32,33,The Hunt for Red October,PG,30000000,199200000,02-03-1990,Thriller,134,7.6,167212,2,3
33,34,Another 48 Hrs.,R,38000000,153518974,08-06-1990,Action,95,5.9,36103,8,6
34,35,Back to the Future Part III,PG,40000000,244527583,25-05-1990,Family,118,7.4,369652,25,5
35,36,Dick Tracy,PG,47000000,103738726,15-06-1990,Crime,103,6.1,54312,15,6
36,37,The Godfather: Part III,R,54000000,136766062,24-12-1990,Drama,162,7.6,332236,24,12
37,38,Days of Thunder,PG-13,60000000,157920733,27-06-1990,Adventure,107,6,73649,27,6
38,39,Total Recall,R,65000000,261317921,01-06-1990,Science Fiction,113,7.5,282870,1,6
39,40,Die Hard 2,R,70000000,240031094,02-07-1990,Thriller,124,7.2,317843,2,7
40,41,Fried Green Tomatoes,PG-13,11000000,119418501,27-12-1991,Comedy,130,7.7,62493,27,12
41,42,The Silence of the Lambs,R,19000000,272742922,01-02-1991,Crime,119,8.6,1166583,1,2
42,43,Sleeping with the Enemy,R,19000000,174999005,08-02-1991,Drama,99,6.2,46455,8,2
43,44,Father of the Bride,PG,20000000,89325780,20-12-1991,Romance,105,6.5,64326,20,12
44,45,The Naked Gun 2 1/2: The Smell of Fear,PG-13,23000000,86900000,28-06-1991,Drama,85,6.5,64326,28,6
45,46,Teenage Mutant Ninja Turtles II,PG,25000000,78600000,22-03-1991,Action,88,8,397467,22,3
46,47,Beauty and the Beast,PG,25000000,377350553,13-11-1991,Animation,84,8,397467,13,11
47,48,Hot Shots!,PG-13,26000000,181096164,31-07-1991,Comedy,84,6.8,93277,31,7
48,49,City Slickers,PG-13,27000000,179033791,07-06-1991,Comedy,112,6.7,45166,7,6
49,50,Star Trek VI: The Undiscovered Country,PG,27000000,96900000,05-12-1991,Science Fiction,113,7.2,66086,5,12
50,51,The Addams Family,PG-13,30000000,191502426,22-11-1991,Comedy,99,6.9,119260,22,11
51,52,The Prince of Tides,R,30000000,74787599,25-12-1991,Romance,132,6.7,14918,25,12
52,53,What About Bob?,PG,35000000,63710000,17-05-1991,Comedy,100,7,58797,17,5
53,54,Cape Fear,R,35000000,182300000,15-11-1991,Crime,128,7.3,157496,15,11
54,55,JFK,R,40000000,205405498,20-12-1991,Drama,189,8,132879,20,12
55,56,Robin Hood: Prince of Thieves,PG-13,48000000,390493908,14-06-1991,Adventure,143,6.9,168877,14,6
